,date,default,isPartial,delta
20785,2021-03-17 23:00:00,61,False,0.016666666666666666
20786,2021-03-18 00:00:00,59,False,-0.03278688524590164
20787,2021-03-18 00:00:00,74,False,0.2542372881355932
20788,2021-03-18 01:00:00,82,False,0.10810810810810811
20789,2021-03-18 02:00:00,90,False,0.0975609756097561
20790,2021-03-18 03:00:00,99,False,0.1
20791,2021-03-18 04:00:00,98,False,-0.010101010101010102
20792,2021-03-18 05:00:00,95,False,-0.030612244897959183
20793,2021-03-18 06:00:00,95,False,0.0
20794,2021-03-18 07:00:00,93,False,-0.021052631578947368
20795,2021-03-18 08:00:00,97,False,0.043010752688172046
20796,2021-03-18 09:00:00,95,False,-0.020618556701030927
20797,2021-03-18 10:00:00,93,False,-0.021052631578947368
20798,2021-03-18 11:00:00,84,False,-0.0967741935483871
20799,2021-03-18 12:00:00,87,False,0.03571428571428571
20800,2021-03-18 13:00:00,89,False,0.022988505747126436
20801,2021-03-18 14:00:00,90,False,0.011235955056179775
20802,2021-03-18 15:00:00,90,False,0.0
20803,2021-03-18 16:00:00,83,False,-0.07777777777777778
20804,2021-03-18 17:00:00,79,False,-0.04819277108433735
20805,2021-03-18 18:00:00,77,False,-0.02531645569620253
20806,2021-03-18 19:00:00,76,False,-0.012987012987012988
20807,2021-03-18 20:00:00,74,False,-0.02631578947368421
20808,2021-03-18 21:00:00,76,False,0.02702702702702703
20809,2021-03-18 22:00:00,74,False,-0.02631578947368421
20810,2021-03-18 23:00:00,76,False,0.02702702702702703
20811,2021-03-19 00:00:00,76,False,0.0
20812,2021-03-19 01:00:00,80,False,0.05263157894736842
20813,2021-03-19 02:00:00,88,False,0.1
20814,2021-03-19 03:00:00,96,False,0.09090909090909091
20815,2021-03-19 04:00:00,95,False,-0.010416666666666666
20816,2021-03-19 05:00:00,89,False,-0.06315789473684211
20817,2021-03-19 06:00:00,87,False,-0.02247191011235955
20818,2021-03-19 07:00:00,85,False,-0.022988505747126436
20819,2021-03-19 08:00:00,89,False,0.047058823529411764
20820,2021-03-19 09:00:00,93,False,0.0449438202247191
20821,2021-03-19 10:00:00,85,False,-0.08602150537634409
20822,2021-03-19 11:00:00,76,False,-0.10588235294117647
20823,2021-03-19 12:00:00,81,False,0.06578947368421052
20824,2021-03-19 13:00:00,84,False,0.037037037037037035
20825,2021-03-19 14:00:00,87,False,0.03571428571428571
20826,2021-03-19 15:00:00,84,False,-0.034482758620689655
20827,2021-03-19 16:00:00,78,False,-0.07142857142857142
20828,2021-03-19 17:00:00,74,False,-0.05128205128205128
20829,2021-03-19 18:00:00,72,False,-0.02702702702702703
20830,2021-03-19 19:00:00,71,False,-0.013888888888888888
20831,2021-03-19 20:00:00,70,False,-0.014084507042253521
20832,2021-03-19 21:00:00,65,False,-0.07142857142857142
20833,2021-03-19 22:00:00,65,False,0.0
20834,2021-03-19 23:00:00,64,False,-0.015384615384615385
