,date,hedge fund,isPartial,delta
406,2015-01-17 20:00:00,54,False,0.125
407,2015-01-17 21:00:00,48,False,-0.1111111111111111
408,2015-01-17 22:00:00,52,False,0.08333333333333333
409,2015-01-17 23:00:00,57,False,0.09615384615384616
410,2015-01-18 00:00:00,52,False,-0.08771929824561403
411,2015-01-18 01:00:00,53,False,0.019230769230769232
412,2015-01-18 02:00:00,55,False,0.03773584905660377
413,2015-01-18 03:00:00,50,False,-0.09090909090909091
414,2015-01-18 04:00:00,50,False,0.0
415,2015-01-18 05:00:00,47,False,-0.06
416,2015-01-18 06:00:00,44,False,-0.06382978723404255
417,2015-01-18 07:00:00,35,False,-0.20454545454545456
418,2015-01-18 08:00:00,34,False,-0.02857142857142857
419,2015-01-18 09:00:00,27,False,-0.20588235294117646
420,2015-01-18 10:00:00,28,False,0.037037037037037035
421,2015-01-18 11:00:00,31,False,0.10714285714285714
422,2015-01-18 12:00:00,29,False,-0.06451612903225806
423,2015-01-18 13:00:00,29,False,0.0
424,2015-01-18 14:00:00,32,False,0.10344827586206896
425,2015-01-18 15:00:00,36,False,0.125
426,2015-01-18 16:00:00,33,False,-0.08333333333333333
427,2015-01-18 17:00:00,35,False,0.06060606060606061
428,2015-01-18 18:00:00,39,False,0.11428571428571428
429,2015-01-18 19:00:00,39,False,0.0
430,2015-01-18 20:00:00,42,False,0.07692307692307693
431,2015-01-18 21:00:00,48,False,0.14285714285714285
432,2015-01-18 22:00:00,52,False,0.08333333333333333
433,2015-01-18 23:00:00,45,False,-0.1346153846153846
434,2015-01-19 00:00:00,53,False,0.17777777777777778
435,2015-01-19 01:00:00,53,False,0.0
436,2015-01-19 02:00:00,59,False,0.11320754716981132
437,2015-01-19 03:00:00,64,False,0.0847457627118644
438,2015-01-19 04:00:00,53,False,-0.171875
439,2015-01-19 05:00:00,57,False,0.07547169811320754
440,2015-01-19 06:00:00,48,False,-0.15789473684210525
441,2015-01-19 07:00:00,41,False,-0.14583333333333334
442,2015-01-19 08:00:00,43,False,0.04878048780487805
443,2015-01-19 09:00:00,40,False,-0.06976744186046512
444,2015-01-19 10:00:00,43,False,0.075
445,2015-01-19 11:00:00,40,False,-0.06976744186046512
446,2015-01-19 12:00:00,37,False,-0.075
447,2015-01-19 13:00:00,37,False,0.0
448,2015-01-19 14:00:00,45,False,0.21621621621621623
449,2015-01-19 15:00:00,45,False,0.0
450,2015-01-19 16:00:00,47,False,0.044444444444444446
451,2015-01-19 17:00:00,43,False,-0.0851063829787234
452,2015-01-19 18:00:00,41,False,-0.046511627906976744
453,2015-01-19 19:00:00,48,False,0.17073170731707318
454,2015-01-19 20:00:00,49,False,0.020833333333333332
455,2015-01-19 21:00:00,50,False,0.02040816326530612
456,2015-01-19 22:00:00,60,False,0.2
457,2015-01-19 23:00:00,59,False,-0.016666666666666666
458,2015-01-20 00:00:00,52,False,-0.11864406779661017
459,2015-01-20 01:00:00,54,False,0.038461538461538464
460,2015-01-20 02:00:00,60,False,0.1111111111111111
461,2015-01-20 03:00:00,54,False,-0.1
462,2015-01-20 04:00:00,64,False,0.18518518518518517
463,2015-01-20 05:00:00,53,False,-0.171875
464,2015-01-20 06:00:00,41,False,-0.22641509433962265
465,2015-01-20 07:00:00,55,False,0.34146341463414637
466,2015-01-20 08:00:00,37,False,-0.32727272727272727
467,2015-01-20 09:00:00,41,False,0.10810810810810811
468,2015-01-20 10:00:00,37,False,-0.0975609756097561
469,2015-01-20 11:00:00,39,False,0.05405405405405406
470,2015-01-20 12:00:00,42,False,0.07692307692307693
471,2015-01-20 13:00:00,43,False,0.023809523809523808
472,2015-01-20 14:00:00,53,False,0.23255813953488372
473,2015-01-20 15:00:00,61,False,0.1509433962264151
474,2015-01-20 16:00:00,66,False,0.08196721311475409
475,2015-01-20 17:00:00,63,False,-0.045454545454545456
476,2015-01-20 18:00:00,56,False,-0.1111111111111111
477,2015-01-20 19:00:00,59,False,0.05357142857142857
478,2015-01-20 20:00:00,63,False,0.06779661016949153
479,2015-01-20 21:00:00,64,False,0.015873015873015872
480,2015-01-20 22:00:00,63,False,-0.015625
481,2015-01-20 23:00:00,64,False,0.015873015873015872
482,2015-01-21 00:00:00,65,False,0.015625
483,2015-01-21 01:00:00,61,False,-0.06153846153846154
484,2015-01-21 02:00:00,64,False,0.04918032786885246
485,2015-01-21 03:00:00,52,False,-0.1875
486,2015-01-21 04:00:00,53,False,0.019230769230769232
487,2015-01-21 05:00:00,48,False,-0.09433962264150944
488,2015-01-21 06:00:00,41,False,-0.14583333333333334
489,2015-01-21 07:00:00,37,False,-0.0975609756097561
490,2015-01-21 08:00:00,37,False,0.0
491,2015-01-21 09:00:00,38,False,0.02702702702702703
492,2015-01-21 10:00:00,48,False,0.2631578947368421
493,2015-01-21 11:00:00,45,False,-0.0625
494,2015-01-21 12:00:00,39,False,-0.13333333333333333
495,2015-01-21 13:00:00,43,False,0.10256410256410256
496,2015-01-21 14:00:00,48,False,0.11627906976744186
497,2015-01-21 15:00:00,61,False,0.2708333333333333
498,2015-01-21 16:00:00,67,False,0.09836065573770492
499,2015-01-21 17:00:00,60,False,-0.1044776119402985
500,2015-01-21 18:00:00,60,False,0.0
501,2015-01-21 19:00:00,66,False,0.1
502,2015-01-21 20:00:00,78,False,0.18181818181818182
503,2015-01-21 21:00:00,100,False,0.28205128205128205
504,2015-01-21 22:00:00,71,False,-0.29
505,2015-01-21 23:00:00,74,False,0.04225352112676056
506,2015-01-22 00:00:00,70,False,-0.05405405405405406
507,2015-01-22 00:00:00,88,False,0.2571428571428571
508,2015-01-22 01:00:00,100,False,0.13636363636363635
509,2015-01-22 02:00:00,84,False,-0.16
510,2015-01-22 03:00:00,96,False,0.14285714285714285
511,2015-01-22 04:00:00,81,False,-0.15625
512,2015-01-22 05:00:00,71,False,-0.12345679012345678
513,2015-01-22 06:00:00,69,False,-0.028169014084507043
514,2015-01-22 07:00:00,51,False,-0.2608695652173913
515,2015-01-22 08:00:00,52,False,0.0196078431372549
516,2015-01-22 09:00:00,53,False,0.019230769230769232
